time,Drug,EGF_ligand,EGFR_total,EGFR_dimer,pEGFR,GRB2_SOS,RAS_GTP,pERK,pAKT,Phenotype,CBL_active,EGFR_ubiquitinated
0.0,1.0,1.0,0.4955192350585745,0.8259832116718386,1.5768771077219705,1.7536263230652507,1.6498741875407876,1.2522078906962741,1.1820740390378097,0.7538213895959527,1.122633550024897,1.2644680628023115
0.3,0.9646402934828205,1.0,0.44808042098952466,0.8214883200588003,1.576428208825982,1.7536235326888303,1.649874174811926,1.25220543859792,1.182072027448257,0.753821388491856,1.1226322589291242,1.6038906783438032
0.6,0.9305308958115123,1.0,0.3959533333816441,0.8076469534421712,1.5733522821644772,1.7535832337716928,1.6498738118071776,1.2521702340308922,1.1820430276686777,0.7538213424559937,1.1226134454795254,1.8973390359730171
0.8999999999999999,0.8976275964313075,1.0,0.3442742665931961,0.7849087663182418,1.5653726686930902,1.753417606614297,1.6498714981499425,1.2520264888559176,1.1819240782488998,0.7538210409181526,1.1225353366241642,2.1490663286929945
1.2,0.8658877480606034,1.0,0.29645360698462464,0.7547225564219755,1.550849273086864,1.7529996602329518,1.6498635503688501,1.2516661575343937,1.1816245337332951,0.7538199837569843,1.1223361854359382,2.36225256283331
1.5,0.8352702114131582,1.0,0.25437515438680874,0.7190613097363384,1.5289022068121136,1.7521812015267872,1.6498438489703395,1.2509651739720102,1.1810391476695234,0.7538173101739487,1.1219421179151066,2.539366313492337
1.7999999999999998,0.805735301875817,1.0,0.21875325183114183,0.6799723342462977,1.4993789585861406,1.7508084500940602,1.6498038816281522,1.249797137912924,1.1800593386861227,0.7538117753966889,1.1212742868256698,2.6824885190467005
2.1,0.7772447380717005,1.0,0.1895127845906674,0.6392659786349036,1.4627147973932486,1.7487335615130872,1.6497330536968813,1.2480430726413214,1.178581420324033,0.7538017633539821,1.1202544291452456,2.793562267818788
2.4,0.7497615922421803,1.0,0.16611694372165847,0.5983721463633995,1.4197493720595464,1.745821834877227,1.6496191362056583,1.2455972106694462,1.1765116691635307,0.7537853216699719,1.1188086075996093,2.874556289996477
2.6999999999999997,0.7232502423833354,1.0,0.1478135318139764,0.5583255674754678,1.3715501459672763,1.7419553217909418,1.6494487471617159,1.2423695640018109,1.1737687792101839,0.7537602070331949,1.116869367037594,2.927549554894427
3.0,0.697676326074849,1.0,0.13379948919973642,0.5198203668944451,1.3192701207417576,1.7370339048645138,1.6492077973826424,1.2382863031645908,1.1702844943815818,0.7537239323084435,1.1143767270141316,2.954755124343551
3.3,0.6730066959415021,1.0,0.1233177541023264,0.4832869428539477,1.2640472528189,1.7309748619117569,1.648881864870149,1.2332888845678298,1.1660031644390814,0.7536738101837303,1.1112784367056459,2.9585037865521064
3.5999999999999996,0.6492093766895348,1.0,0.11570496547706736,0.44896505878127874,1.2069413312543054,1.723711700629036,1.648456486234471,1.2273326324941014,1.1608807956231968,0.7536069908990511,1.1075298338485138,2.9412052806190907
3.9,0.6262535236621909,1.0,0.11040720245859728,0.4169631063199452,1.1488997255346685,1.7151927914119538,1.647917369178135,1.2203852367863182,1.154883977026385,0.7535204934910884,1.1030935455314903,2.9053003238898496
4.2,0.604109382860724,1.0,0.10697722081971825,0.38730228046557336,1.09074327179954,1.7053801142677953,1.6472505383133063,1.212425430876979,1.1479889083306696,0.7534112311249443,1.0979391794363509,2.8532121435693276
4.5,0.5827482523790518,1.0,0.10506253481048627,0.35994796144447594,1.0331651522657466,1.6942482859512238,1.6464424299647924,1.2034419789234443,1.1401806452253735,0.7532760316855277,1.0920430889904604,2.7873026122723643
4.8,0.5621424452020669,1.0,0.10439019926753922,0.3348313914071356,0.9767375368744673,1.6817839370461187,1.6454799521153356,1.1934330156567394,1.1314526089704393,0.7531116550682361,1.0853882526637146,2.7098355310097584
5.1,0.5422652533193909,1.0,0.1047515806876753,0.3118644015600266,0.921922413290881,1.667985450647914,1.6443505247063965,1.1824057331002333,1.1218063648958359,0.7529148086901896,1.0779642805800478,2.6229479351433627
5.3999999999999995,0.5230909131080537,1.0,0.10598871183184776,0.2909493128180716,0.8690842825209442,1.6528630408233735,1.6430421140036244,1.170376381373064,1.111251650950103,0.7526821627361239,1.0697675451860975,2.5286292895087477
5.7,0.504594571939232,1.0,0.10798280730202073,0.27198553425362115,0.8185032752659469,1.6364391299821786,1.6415432731625221,1.1573705367983944,1.0998066242500666,0.7524103666131016,1.0608014227350149,2.4287078808615603
6.0,0.4867522559657645,1.0,0.11064496658541956,0.2548739145217027,0.7703878331829197,1.6187489729592808,1.6398431997148761,1.1434235832554185,1.0874982860034315,0.7520960680433566,1.051076625986013,2.324843450573172
6.3,0.46954083904868915,1.0,0.11390883257466508,0.2395195634152644,0.7248864824898077,1.599841467844485,1.6379318195047508,1.1285813483845422,1.0743630401557247,0.7517359361842154,1.0406116040429485,2.2185250266871273
6.6,0.45293801278253054,1.0,0.11772488335113981,0.2258336269429673,0.6820984704596026,1.5797800870495493,1.6357999055971926,1.1129008327844407,1.0604473369398846,0.7513266901251767,1.029432981652537,2.1110729374978643
6.8999999999999995,0.4369222575804837,1.0,0.12205603253645679,0.2137343408027703,0.6420831854654939,1.5586438555924413,1.633439239760659,1.0964509667215543,1.045808348328507,0.750865134063083,1.0175760070401185,2.003644070434301
7.199999999999999,0.4214728147820174,1.0,0.12687425061413346,0.20314758044987596,0.6048683707090624,1.5365282967126856,1.630842823135912,1.079313324815978,1.0305146179285842,0.7503482003780593,1.0050849742887213,1.8972395497468513
7.5,0.4065696597467446,1.0,0.13215796969999727,0.1940070542646895,0.5704571922027046,1.5135462578886436,1.6280051414622771,1.0615827248814107,1.0146466232498255,0.7497730017005901,0.992013583401157,1.7927141255830907
7.8,0.39219347589968534,1.0,0.13789008394602353,0.18625423808979533,0.5388342472510483,1.4898285237359543,1.6249224885179947,1.0433676331733552,0.9982971839764769,0.7491368928435588,0.978425198729572,1.6907866843853454
8.1,0.3783256296942818,1.0,0.1440564013344427,0.17983811694849375,0.5099706099406794,1.4655241171445799,1.6215933490042687,1.0247902956508146,0.981571646611017,0.7484375431382423,0.964392964753766,1.592051399909046
8.4,0.36494814646071394,1.0,0.15064443832217045,0.17471477802429844,0.483828011123713,1.4408001877179641,1.6180188387178478,1.0059865146607816,0.9645877746067645,0.7476730192250356,0.9499997376937135,1.4969891423629162
8.7,0.3520436871082112,1.0,0.15764247683715085,0.170846884643239,0.46036224606546305,1.4158413887352566,1.614203195297069,0.9871049940839017,0.9474752750197679,0.7468418776765635,0.9353377926935192,1.4059788489203335
9.0,0.33959552565116385,1.0,0.16503882451002463,0.16820305185281204,0.4395258959215714,1.3908486522239234,1.6101543069498625,0.9683061848774689,0.9303748990315348,0.7459432659522413,0.920508269895299,1.3193086319880023
9.299999999999999,0.32758752752990483,1.0,0.17282123495790724,0.16675713874501058,0.4212704411958814,1.3660372879855773,1.605884259382001,0.9497605784446504,0.9134370656032199,0.7449770290992549,0.9056203291875046,1.2371864626361588
