time,Drug,EGF_ligand,EGFR_total,EGFR_dimer,pEGFR,GRB2_SOS,RAS_GTP,pERK,pAKT,Phenotype
0.0,1.0,1.0,2.2809837922322482,2.3813842388959205,4.5461352694902475,1.9896686717035046,1.6830947743343727,1.425329048397461,1.3411843810952833,0.776830920516462
0.3,0.9646402934823531,1.0,2.2810332025556552,2.38139580458522,4.102955419183689,1.9887496763592623,1.6830894423836829,1.4245217275684472,1.3405225651811208,0.7768303566055573
0.6,0.9305308958110613,1.0,2.2810820967849024,2.3814072487489533,3.732945055159626,1.9861306637793814,1.6830541224217705,1.422249697156023,1.3386436983668282,0.776825780147937
0.8999999999999999,0.8976275964308725,1.0,2.2811304803106283,2.3814185726715067,3.425029884621176,1.9820287115715247,1.682965696986485,1.418737619060301,1.3357128699578158,0.7768137543297635
1.2,0.8658877480601839,1.0,2.281178358467165,2.3814297776235396,3.1698170801392225,1.9766706573277262,1.6828077179347682,1.4142083404100616,1.3318998175005576,0.7767914492841459
1.5,0.8352702114127531,1.0,2.2812257365331283,2.381440864862129,2.9593393787500686,1.9702905553237329,1.6825696280428033,1.4088820646839872,1.3273773406728078,0.7767566267101714
1.7999999999999998,0.8057353018754264,1.0,2.2812726197319977,2.3814518356309224,2.7868381277139798,1.9631251384415238,1.6822460690167151,1.4029736151840955,1.3223182646428555,0.7767076250842325
2.1,0.7772447380713237,1.0,2.281319013232693,2.381462691160281,2.646579336789387,1.95540792858128,1.6818362273933658,1.3966884257579315,1.316891429094377,0.7766433399511912
2.4,0.7497615922418168,1.0,2.281364922150146,2.3814734326674256,2.5336977170746913,1.9473627986496362,1.681343186769189,1.3902180071973727,1.311257288468904,0.7765631955234459
2.6999999999999997,0.7232502423829847,1.0,2.2814103515458606,2.381484061356581,2.4440644500088924,1.9391978023106862,1.6807732715300474,1.3837356237085703,1.3055637127373774,0.7764671057443601
3.0,0.6976763260745108,1.0,2.281455306428473,2.3814945784191157,2.37417507751805,1.9310999599240368,1.6801353821947087,1.3773927800552612,1.2999424811311375,0.7763554248618652
3.3,0.6730066959411758,1.0,2.281499791754305,2.3815049850336845,2.3210544532130593,1.9232314650248212,1.6794403338867394,1.3713169081635044,1.2945067965136121,0.7762288891472846
3.5999999999999996,0.6492093766892202,1.0,2.2815438124279095,2.3815152823663643,2.2821761599648,1.9157275169533103,1.6787002163139122,1.3656104073822426,1.2893499601507095,0.7760885524983517
3.9,0.6262535236618872,1.0,2.2815873733026093,2.3815254715707934,2.255394193806103,1.9086957488686622,1.6779277958775778,1.3603509848273565,1.284545176535027,0.7759357192115537
4.2,0.6041093828604311,1.0,2.2816304791810356,2.381535553788305,2.238885048705295,1.9022170441097959,1.677135978868803,1.3555930927068032,1.280146332409037,0.775771877234661
4.5,0.5827482523787694,1.0,2.281673134815655,2.381545530148062,2.2310986204543006,1.896347431762604,1.6763373503292556,1.3513701782915928,1.2761895228038187,0.7755986348310925
4.8,0.5621424452017945,1.0,2.281715344909294,2.3815554017671894,2.2307165884576716,1.8911207189167163,1.6755437973886618,1.3476974422592953,1.2726950753140724,0.775417662954431
5.1,0.542265253319128,1.0,2.2817571141156594,2.3815651697509055,2.236617138161951,1.886551535642793,1.6747662199097821,1.3445748260092811,1.2696698394494363,0.7752306448916765
5.3999999999999995,0.5230909131078,1.0,2.2817984470398476,2.3815748351926493,2.2478450597936916,1.8826385190099253,1.6740143259346159,1.3419899994512838,1.267109545943063,0.7750392340070408
5.7,0.5045945719389874,1.0,2.2818393482388553,2.381584399174211,2.263586405698629,1.8793674264668874,1.6732965052338502,1.3399211814492145,1.2650010882711928,0.7748450197845286
6.0,0.4867522559655285,1.0,2.2818798222220815,2.381593862765857,2.283147012895658,1.8767140334049028,1.6726197714018725,1.33833968400276,1.2633246258230193,0.7746495018690868
6.3,0.4695408390484615,1.0,2.2819198734518236,2.381603227026455,2.305934302870318,1.874646726677491,1.671989761365781,1.3372121216705453,1.262055449454839,0.7744540714537523
6.6,0.4529380127823109,1.0,2.28195950634377,2.3816124930035985,2.3314418600103517,1.8731287515828834,1.6714107807003424,1.336502266912881,1.261165583015689,0.7742599991438707
6.8999999999999995,0.43692225758027187,1.0,2.2819987252674876,2.3816216617337274,2.3592363658698665,1.8721201036472972,1.6708858835087705,1.336172559853705,1.2606251184736077,0.7740684283271796
7.199999999999999,0.4214728147818131,1.0,2.2820375345469026,2.381630734242251,2.3889465307068907,1.8715790795891858,1.670416976580323,1.3361852988213867,1.2604032983984186,0.773880373063975
7.5,0.40656965974654746,1.0,2.2820759384607765,2.3816397115436665,2.4202537182253443,1.8714635160180784,1.6700049388354226,1.3365035479421359,1.2604693692322888,0.773696719558714
7.8,0.39219347589949516,1.0,2.282113941243181,2.381648594641676,2.4528840056534906,1.8717317518349945,1.66964974852631,1.337091802110046,1.2607932335790903,0.7735182303605935
8.1,0.37832562969409833,1.0,2.2821515470839606,2.3816573845293068,2.486601460467426,1.8723433528935065,1.6693506121333155,1.3379164496924678,1.2613459311021582,0.7733455505476435
8.4,0.3649481464605369,1.0,2.282188760129197,2.381666082189022,2.521202448289007,1.873259636862062,1.6691060902859411,1.3389460708406773,1.262099976719654,0.7731792152631134
8.7,0.35204368710804046,1.0,2.282225584481667,2.3816746885928395,2.556510814659048,1.8744440336446082,1.6689142172842846,1.3401516053854334,1.2630295825348286,0.7730196580850087
9.0,0.33959552565099915,1.0,2.282262024201292,2.3816832047024423,2.5923738072769553,1.8758623130763121,1.6687726118698172,1.3415064197975175,1.2641107869915262,0.7728672198135877
9.299999999999999,0.32758752752974596,1.0,2.2822980833055886,2.3816916314692906,2.628658625558651,1.8774827075420057,1.6686785777865842,1.3429862981102823,1.2653215115524101,0.7727221573541617
9.6,0.3160041286979079,1.0,2.282333765770109,2.381699969834734,2.6652495015479762,1.8792759530763006,1.6686291933905877,1.3445693773578944,1.266641562047481,0.7725846524522613
9.9,0.30483031544922434,1.0,2.282369075528881,2.3817082207301175,2.7020452307909073,1.8812152686445482,1.6686213901213904,1.3462360441572563,1.2680525889049947,0.772454820105078
10.2,0.2940516049576818,1.0,2.2824040164748425,2.381716385076893,2.738957084143912,1.8832762898078592,1.6686520200656187,1.3479688056323305,1.269538017845215,0.7723327165277873
10.5,0.28365402650574384,1.0,2.2824385924602666,2.3817244637867234,2.77590704197404,1.885436969901705,1.668717913138413,1.3497521449613932,1.2710829603242029,0.7722183465971224
10.799999999999999,0.2736241033763463,1.0,2.282472807297192,2.381732457761591,2.812826301104189,1.8876774592156227,1.6688159246071959,1.3515723693966806,1.272674111059975,0.7721116707288097
11.1,0.2639488353851847,1.0,2.2825066647578383,2.3817403678938986,2.849654012404298,1.8899799704311149,1.6689429738019657,1.3534174566168458,1.2742996383364302,0.7720126111716373
11.4,0.25461568203065676,1.0,2.2825401685750246,2.3817481950665753,2.8863362133328834,1.8923286367198684,1.6690960749151695,1.355276903671299,1.2759490714303308,0.7719210577203925
11.7,0.2456125462396162,1.0,2.2825733224425817,2.3817559401531785,2.922824925167238,1.8947093673814988,1.6692723608070033,1.3571415815055812,1.2776131884078696,0.7718368728639299
12.0,0.23692775868787277,1.0,2.2826061300157563,2.3817636040179933,2.959077389271985,1.8971097046642158,1.669469100711301,1.3590035970646583,1.279283906654165,0.7717598963943089
12.299999999999999,0.2285500626751151,1.0,2.282638594911617,2.3817711875161347,2.9950554206694173,1.899518684419924,1.6696837126931314,1.360856164207562,1.2809541777975375,0.7716899495092228
12.6,0.22046859953465092,1.0,2.2826707207094508,2.3817786914936443,3.0307248604969868,1.9019267024576523,1.6699137716500334,1.3626934840891556,1.2826178881399894,0.7716268384435973
12.9,0.21267289455905547,1.0,2.2827025109511605,2.3817861167875902,3.066055111757159,1.904325387840723,1.6701570135807056,1.3645106352361804,1.284269765278924,0.7715703576679218
13.2,0.20515284342348444,1.0,2.2827339691416517,2.3817934642261602,3.10101874515867,1.9067074838931206,1.6704113367728077,1.3663034732341472,1.2859052912795723,0.771520292691114
